order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,profit_margin,category,sub_category,description,unit_cost,days_to_ship,order_year,order_month_no,order_day,order_day_name,margin_category
ID-2020-39595,2020-01-14,2020-01-18,Standard Class,TH-21115,FUR-BO-10000112,240.669,3,0.35,-26.001,-0.11,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,4,2020,1,1,Tuesday,Low
IN-2021-21381,2021-05-18,2021-05-23,Standard Class,DB-13555,FUR-BO-10000112,229.5612,2,0.07,51.7812,0.23,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,5,2021,5,1,Tuesday,Medium
IN-2019-69429,2019-07-17,2019-07-21,Standard Class,CC-12610,FUR-BO-10000175,244.08,2,0.0,68.34,0.28,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,4,2019,7,2,Wednesday,Medium
IN-2019-65320,2019-06-26,2019-06-30,Standard Class,GW-14605,FUR-BO-10000175,439.344,4,0.1,87.864,0.2,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,4,2019,6,2,Wednesday,Medium
IN-2020-63395,2020-09-10,2020-10-13,Standard Class,JP-15460,FUR-BO-10000175,567.486,5,0.07,128.136,0.23,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,33,2020,9,3,Thursday,Medium
IN-2019-14332,2019-11-17,2019-11-20,First Class,AW-10840,FUR-BO-10000175,195.264,2,0.2,19.524,0.1,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,3,2019,11,6,Sunday,Medium
IN-2021-37628,2021-11-29,2021-02-12,Second Class,AR-10570,FUR-BO-10000175,488.16,4,0.0,136.68,0.28,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87,-290,2021,11,0,Monday,Medium
IN-2021-33785,2021-06-06,2021-12-06,Standard Class,BT-11680,FUR-BO-10000195,248.22,2,0.0,96.78,0.39,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72,183,2021,6,6,Sunday,High
IN-2021-74329,2021-08-16,2021-08-22,Standard Class,BF-11215,FUR-BO-10000195,446.796,4,0.1,143.916,0.32,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72,6,2021,8,0,Monday,High
IN-2022-56591,2022-12-30,2023-05-01,Standard Class,DK-12985,FUR-BO-10000195,484.029,6,0.35,29.709,0.06,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",75.72,122,2022,12,4,Friday,Low
IN-2020-67931,2020-05-16,2020-05-21,Standard Class,JF-15190,FUR-BO-10000203,2438.667,7,0.1,867.027,0.36,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,5,2020,5,5,Saturday,High
IN-2021-40477,2021-04-06,2021-08-06,Standard Class,NB-18655,FUR-BO-10000203,1548.36,4,0.0,650.28,0.41997984964736884,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,122,2021,4,1,Tuesday,High
IN-2021-55555,2021-06-03,2021-10-03,Standard Class,VP-21760,FUR-BO-10000203,719.9874,2,0.07,270.9474,0.38,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,122,2021,6,3,Thursday,High
IN-2022-52174,2022-10-23,2022-10-26,Second Class,JO-15145,FUR-BO-10000203,696.762,2,0.1,247.722,0.36,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,3,2022,10,6,Sunday,High
IN-2020-69044,2020-05-25,2020-05-27,First Class,EB-13840,FUR-BO-10000203,774.18,2,0.0,325.14,0.42,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,2,2020,5,0,Monday,High
IN-2021-59160,2021-10-09,2021-10-09,Same Day,JH-15820,FUR-BO-10000203,696.762,2,0.1,247.722,0.36,Furniture,Bookcases,"Sauder Library with Doors, Metal",224.52,0,2021,10,5,Saturday,High
IN-2022-73265,2022-06-08,2022-10-08,Second Class,MT-17815,FUR-BO-10000208,988.08,8,0.0,276.48,0.28,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,122,2022,6,2,Wednesday,Medium
ID-2020-65236,2020-08-29,2020-03-09,Standard Class,AA-10375,FUR-BO-10000208,185.265,3,0.5,-81.585,-0.44,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,-173,2020,8,5,Saturday,Low
IN-2019-69429,2019-07-17,2019-07-21,Standard Class,CC-12610,FUR-BO-10000208,1729.14,14,0.0,483.84,0.28,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,4,2019,7,2,Wednesday,Medium
IN-2022-70493,2022-10-23,2022-10-26,Second Class,TZ-21445,FUR-BO-10000208,617.55,5,0.0,172.8,0.28,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,3,2022,10,6,Sunday,Medium
IN-2019-34751,2019-08-12,2019-12-12,Standard Class,JP-16135,FUR-BO-10000208,370.53,3,0.0,103.68,0.28,Furniture,Bookcases,"Bush Stackable Bookrack, Mobile",88.95,122,2019,8,0,Monday,Medium
IN-2020-50942,2020-11-15,2020-11-20,Second Class,JB-16000,FUR-BO-10000210,729.48,2,0.0,218.82,0.3,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,5,2020,11,6,Sunday,High
IN-2020-55541,2020-05-12,2020-08-12,First Class,EH-13765,FUR-BO-10000210,729.48,2,0.0,218.82,0.3,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,92,2020,5,1,Tuesday,High
IN-2022-23761,2022-02-06,2022-04-06,First Class,MH-18115,FUR-BO-10000210,1094.22,3,0.0,328.23,0.3,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,59,2022,2,6,Sunday,High
IN-2022-57683,2022-11-09,2022-09-15,Standard Class,DL-13330,FUR-BO-10000210,1094.22,3,0.0,328.23,0.3,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,-55,2022,11,2,Wednesday,High
IN-2022-13954,2022-02-21,2022-02-27,Standard Class,AB-10600,FUR-BO-10000210,2042.544,7,0.2,255.234,0.12,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,6,2022,2,0,Monday,Medium
IN-2020-29228,2020-01-21,2020-01-26,Standard Class,AR-10510,FUR-BO-10000210,656.532,2,0.1,145.872,0.22,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,5,2020,1,1,Tuesday,Medium
IN-2019-56878,2019-11-15,2019-11-22,Standard Class,EB-14110,FUR-BO-10000210,1356.8328,4,0.07,335.5128,0.25,Furniture,Bookcases,"Ikea Library with Doors, Pine",255.33,7,2019,11,4,Friday,Medium
IN-2021-61232,2021-06-07,2021-12-07,Standard Class,HG-14965,FUR-BO-10000243,1386.63,7,0.0,360.36,0.26,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,183,2021,6,0,Monday,Medium
ID-2022-48793,2022-10-18,2022-10-22,Standard Class,JA-15970,FUR-BO-10000243,1123.1703,9,0.37,-196.3197,-0.17,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,4,2022,10,1,Tuesday,Low
ID-2020-37047,2020-11-23,2020-11-30,Standard Class,AG-10675,FUR-BO-10000243,891.405,5,0.1,158.355,0.18,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,7,2020,11,0,Monday,Medium
ID-2021-15032,2021-01-10,2021-05-10,Standard Class,CC-12370,FUR-BO-10000243,1289.5659,7,0.07,263.2959,0.2,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",146.61,120,2021,1,6,Sunday,Medium
IN-2021-59755,2021-04-27,2021-04-30,Second Class,PG-18820,FUR-BO-10000288,1314.45,3,0.0,39.42,0.03,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01,3,2021,4,1,Tuesday,Low
ID-2021-35640,2021-08-28,2021-08-30,Second Class,CR-12625,FUR-BO-10000288,2760.345,7,0.1,-214.725,-0.08,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01,2,2021,8,5,Saturday,Low
IN-2020-42052,2020-03-28,2020-03-28,Same Day,CS-12490,FUR-BO-10000288,1314.45,3,0.0,39.42,0.02998972954467648,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01,0,2020,3,5,Saturday,Low
ID-2021-69170,2021-05-17,2021-05-21,Second Class,ML-17755,FUR-BO-10000288,788.67,2,0.1,-61.35,-0.08,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01,4,2021,5,0,Monday,Low
IN-2022-47449,2022-12-07,2022-07-13,First Class,CD-12280,FUR-BO-10000288,2190.75,5,0.0,65.7,0.03,Furniture,Bookcases,"Safco Classic Bookcase, Traditional",425.01,-147,2022,12,2,Wednesday,Low
ID-2022-83324,2022-08-26,2022-08-29,First Class,TZ-21445,FUR-BO-10000321,274.992,4,0.6,-158.208,-0.58,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",108.3,3,2022,8,4,Friday,Low
ID-2021-84500,2021-06-12,2021-10-12,Standard Class,GZ-14470,FUR-BO-10000321,618.732,6,0.4,-31.068,-0.05,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",108.3,122,2021,6,5,Saturday,Low
IN-2020-68358,2020-08-06,2020-12-06,Standard Class,ML-18265,FUR-BO-10000402,438.84,3,0.0,65.79,0.15,Furniture,Bookcases,"Sauder Stackable Bookrack, Traditional",124.35,122,2020,8,3,Thursday,Medium
IN-2020-70220,2020-07-09,2020-09-13,Standard Class,SB-20170,FUR-BO-10000402,394.956,3,0.1,21.906,0.06,Furniture,Bookcases,"Sauder Stackable Bookrack, Traditional",124.35,66,2020,7,3,Thursday,Low
IN-2020-80370,2020-12-07,2020-07-14,First Class,JH-15430,FUR-BO-10000425,342.54,2,0.0,92.46,0.27,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",125.04,-146,2020,12,0,Monday,Medium
ID-2021-83758,2021-12-07,2021-07-16,Standard Class,CJ-11875,FUR-BO-10000425,616.572,6,0.4,-133.668,-0.22,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",125.04,-144,2021,12,1,Tuesday,Low
IN-2019-74945,2019-03-23,2019-03-29,Standard Class,DP-13000,FUR-BO-10000610,394.065,5,0.37,75.015,0.19,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",63.81,6,2019,3,5,Saturday,Medium
IN-2019-62737,2019-11-17,2019-11-23,Standard Class,PL-18925,FUR-BO-10000610,250.2,2,0.0,122.58,0.49,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",63.81,6,2019,11,6,Sunday,High
IN-2022-31622,2022-04-21,2022-04-25,Standard Class,SS-20590,FUR-BO-10000610,500.4,4,0.0,245.16,0.49,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",63.81,4,2022,4,3,Thursday,High
IN-2021-48282,2021-11-30,2021-04-12,Standard Class,TT-21460,FUR-BO-10000610,232.686,2,0.07,105.066,0.4515355457569428,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",63.81,-232,2021,11,1,Tuesday,High
IN-2020-85627,2020-06-19,2020-06-25,Standard Class,EC-14050,FUR-BO-10000616,444.312,6,0.4,-89.028,-0.2,Furniture,Bookcases,"Dania Corner Shelving, Pine",88.89,6,2020,6,4,Friday,Low
ID-2022-85228,2022-07-11,2022-10-11,Second Class,CC-12685,FUR-BO-10000623,311.4,2,0.6,-373.68,-1.2,Furniture,Bookcases,"Safco Library with Doors, Metal",342.54,92,2022,7,0,Monday,Low
IN-2022-48814,2022-12-23,2022-12-30,Standard Class,ME-17320,FUR-BO-10000655,1109.052,3,0.1,86.202,0.08,Furniture,Bookcases,"Dania Classic Bookcase, Traditional",340.95,7,2022,12,4,Friday,Low
IN-2020-12589,2020-01-27,2020-01-27,Same Day,TG-21640,FUR-BO-10000666,1014.72,7,0.0,141.96,0.14,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",124.68,0,2020,1,0,Monday,Medium
IN-2022-27478,2022-04-02,2022-09-02,Standard Class,SJ-20215,FUR-BO-10000666,289.92,2,0.0,40.56,0.14,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Mobile",124.68,153,2022,4,5,Saturday,Medium
IN-2021-52566,2021-11-10,2021-10-17,Standard Class,JS-16030,FUR-BO-10000668,276.2613,1,0.14984677493347998,-109.6287,-0.39682974053912,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",385.89,-24,2021,11,2,Wednesday,Low
IN-2022-72516,2022-02-06,2022-04-06,First Class,IM-15070,FUR-BO-10000668,815.6286,2,0.07,43.8486,0.05376049834446708,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",385.89,59,2022,2,6,Sunday,Low
IN-2022-27933,2022-07-22,2022-07-29,Standard Class,KM-16660,FUR-BO-10000668,2039.0715,5,0.07,109.6215,0.05,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",385.89,7,2022,7,4,Friday,Low
IN-2022-81035,2022-05-22,2022-05-26,Standard Class,LB-16795,FUR-BO-10000668,246.12,2,0.0,66.42,0.27,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",385.89,4,2022,5,6,Sunday,Medium
IN-2021-38034,2021-09-18,2021-09-20,First Class,DB-13210,FUR-BO-10000670,364.59,3,0.0,153.09,0.42,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,2,2021,9,5,Saturday,High
IN-2022-75603,2022-12-31,2023-05-01,Second Class,BS-11365,FUR-BO-10000670,364.59,3,0.0,153.09,0.42,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,121,2022,12,5,Saturday,High
IN-2021-73825,2021-06-09,2021-12-09,Standard Class,KW-16570,FUR-BO-10000670,875.016,8,0.1,311.016,0.36,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,183,2021,6,2,Wednesday,High
IN-2021-64452,2021-09-07,2021-07-14,Standard Class,KH-16330,FUR-BO-10000670,972.24,8,0.0,408.24,0.42,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,-55,2021,9,1,Tuesday,High
ID-2021-62177,2021-10-18,2021-10-22,Standard Class,JW-16075,FUR-BO-10000670,486.12,8,0.5,-77.88,-0.16,Furniture,Bookcases,"Dania Corner Shelving, Metal",70.5,4,2021,10,0,Monday,Low
ID-2021-38776,2021-08-20,2021-08-25,Standard Class,DR-12880,FUR-BO-10000676,567.135,9,0.14984677493347998,-510.435,-0.9,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",119.73,5,2021,8,4,Friday,Low
IN-2022-11231,2022-12-16,2022-12-19,First Class,CS-11845,FUR-BO-10000676,630.15,5,0.0,31.5,0.05,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",119.73,3,2022,12,4,Friday,Low
ID-2020-64844,2020-05-17,2020-05-22,Standard Class,SZ-20035,FUR-BO-10000676,163.839,2,0.35,-75.621,-0.46,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",119.73,5,2020,5,6,Sunday,Low
ID-2021-69247,2021-08-11,2021-11-11,Second Class,KH-16360,FUR-BO-10000699,900.072,6,0.1,9.972,0.01,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35,92,2021,8,2,Wednesday,Low
ID-2022-47547,2022-05-23,2022-05-27,Standard Class,CJ-11875,FUR-BO-10000699,266.688,2,0.2,-30.012,-0.11,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35,4,2022,5,0,Monday,Low
IN-2020-70829,2020-08-18,2020-08-24,Standard Class,KH-16510,FUR-BO-10000699,1333.44,8,0.0,146.64,0.11,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35,6,2020,8,1,Tuesday,Medium
ID-2022-35052,2022-08-21,2022-08-28,Standard Class,SH-20635,FUR-BO-10000699,465.0372,3,0.07,19.9872,0.04297978742345774,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35,7,2022,8,6,Sunday,Low
IN-2022-75470,2022-11-03,2022-03-13,Second Class,CS-12460,FUR-BO-10000699,166.68,1,0.0,18.33,0.11,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35,-235,2022,11,3,Thursday,Medium
IN-2021-16992,2021-11-16,2021-11-19,Second Class,SC-20575,FUR-BO-10000699,666.72,4,0.0,73.32,0.11,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Traditional",148.35,3,2021,11,1,Tuesday,Medium
ID-2022-82645,2022-05-02,2022-10-02,Standard Class,JC-15385,FUR-BO-10000700,232.848,2,0.14984677493347998,-97.032,-0.42,Furniture,Bookcases,"Sauder Floating Shelf Set, Metal",164.94,153,2022,5,0,Monday,Low
IN-2020-82918,2020-11-14,2020-11-19,Standard Class,BS-11755,FUR-BO-10000712,250.68,2,0.0,112.8,0.45,Furniture,Bookcases,"Bush Corner Shelving, Pine",68.94,5,2020,11,5,Saturday,High
ID-2022-83240,2022-09-30,2022-05-10,Second Class,AD-10180,FUR-BO-10000807,473.04,4,0.4,-23.76,-0.05,Furniture,Bookcases,"Sauder Floating Shelf Set, Mobile",124.2,-143,2022,9,4,Friday,Low
ID-2020-64655,2020-06-10,2020-12-10,Standard Class,TC-21535,FUR-BO-10000883,78.4917,1,0.37,-44.8683,-0.57,Furniture,Bookcases,"Dania Corner Shelving, Mobile",123.36,183,2020,6,2,Wednesday,Low
IN-2021-17566,2021-05-08,2021-11-08,Standard Class,EH-13765,FUR-BO-10000883,872.13,7,0.0,8.61,0.01,Furniture,Bookcases,"Dania Corner Shelving, Mobile",123.36,184,2021,5,5,Saturday,Low
ID-2021-80314,2021-04-10,2021-04-10,Same Day,CK-12205,FUR-BO-10000889,205.632,2,0.4,-85.728,-0.42,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Mobile",145.68,0,2021,4,5,Saturday,Low
IN-2022-86684,2022-01-29,2022-01-31,Second Class,CG-12040,FUR-BO-10000892,759.06,6,0.0,15.12,0.02,Furniture,Bookcases,"Bush Corner Shelving, Mobile",123.99,2,2022,1,5,Saturday,Low
IN-2022-21619,2022-01-23,2022-01-28,Standard Class,CM-12445,FUR-BO-10000895,582.426,6,0.35,26.766,0.05,Furniture,Bookcases,"Sauder Stackable Bookrack, Pine",92.61,5,2022,1,6,Sunday,Low
IN-2020-42766,2020-08-28,2020-01-09,Standard Class,SO-20335,FUR-BO-10000961,786.618,7,0.1,227.178,0.29,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92,-232,2020,8,4,Friday,Medium
IN-2022-58152,2022-01-01,2022-07-01,Standard Class,AA-10315,FUR-BO-10000961,499.44,4,0.14984677493347998,179.76,0.36,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92,181,2022,1,5,Saturday,High
IN-2022-20499,2022-03-26,2022-03-29,Second Class,GW-14605,FUR-BO-10000961,374.58,3,0.0,134.82,0.36,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92,3,2022,3,5,Saturday,High
ID-2021-69170,2021-05-17,2021-05-21,Second Class,ML-17755,FUR-BO-10000961,224.748,2,0.1,64.908,0.29,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92,4,2021,5,0,Monday,Medium
ID-2022-17314,2022-08-11,2022-10-11,Second Class,AS-10090,FUR-BO-10000961,312.15,5,0.5,-87.45,-0.28,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",79.92,61,2022,8,3,Thursday,Low
IN-2021-36963,2021-12-24,2021-12-26,First Class,VG-21805,FUR-BO-10000980,1092.96,3,0.14984677493347998,393.39,0.36,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,2,2021,12,4,Friday,High
ID-2021-60896,2021-06-08,2021-08-08,First Class,JE-16165,FUR-BO-10000980,677.6352,2,0.07,211.2552,0.31,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,61,2021,6,1,Tuesday,High
ID-2022-20205,2022-10-22,2022-10-27,Standard Class,JC-15340,FUR-BO-10000980,291.456,1,0.2,58.266,0.2,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,5,2022,10,5,Saturday,Medium
IN-2020-60714,2020-09-11,2020-11-13,Standard Class,CJ-11875,FUR-BO-10000980,1821.6,5,0.0,655.65,0.36,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,63,2020,9,4,Friday,High
IN-2020-65537,2020-11-09,2020-09-15,Standard Class,MT-17815,FUR-BO-10000980,677.6352,2,0.07,211.2552,0.31,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,-55,2020,11,0,Monday,High
IN-2021-42311,2021-02-28,2021-01-03,First Class,MH-17785,FUR-BO-10000980,364.32,1,0.0,131.13,0.36,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,-56,2021,2,6,Sunday,High
IN-2022-27891,2022-09-23,2022-09-29,Standard Class,VP-21760,FUR-BO-10000980,364.32,1,0.0,131.13,0.36,Furniture,Bookcases,"Bush Library with Doors, Traditional",233.19,6,2022,9,4,Friday,High
IN-2022-29207,2022-07-22,2022-07-27,Standard Class,ML-17755,FUR-BO-10001073,551.3886,2,0.37,-157.5714,-0.29,Furniture,Bookcases,"Safco Classic Bookcase, Metal",354.48,5,2022,7,4,Friday,Low
IN-2020-47918,2020-06-03,2020-11-03,Second Class,GB-14530,FUR-BO-10001073,2756.943,7,0.1,275.583,0.1,Furniture,Bookcases,"Safco Classic Bookcase, Metal",354.48,153,2020,6,2,Wednesday,Medium
IN-2021-74567,2021-08-23,2021-08-26,First Class,EB-13750,FUR-BO-10001073,875.22,2,0.0,166.26,0.19,Furniture,Bookcases,"Safco Classic Bookcase, Metal",354.48,3,2021,8,0,Monday,Medium
IN-2022-75470,2022-11-03,2022-03-13,Second Class,CS-12460,FUR-BO-10001073,3063.27,7,0.0,581.91,0.19,Furniture,Bookcases,"Safco Classic Bookcase, Metal",354.48,-235,2022,11,3,Thursday,Medium
IN-2021-70297,2021-12-17,2021-12-21,Standard Class,LS-16975,FUR-BO-10001147,341.46,2,0.0,88.74,0.26,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",126.36,4,2021,12,4,Friday,Medium
IN-2022-49395,2022-04-04,2022-09-04,Standard Class,SD-20485,FUR-BO-10001147,153.657,1,0.1,27.297,0.18,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",126.36,153,2022,4,0,Monday,Medium
IN-2021-14472,2021-08-20,2021-08-24,Standard Class,RA-19285,FUR-BO-10001147,512.19,3,0.0,133.11,0.26,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",126.36,4,2021,8,4,Friday,Medium
IN-2022-32308,2022-08-27,2022-08-31,Standard Class,BS-11365,FUR-BO-10001147,170.73,1,0.0,44.37,0.26,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",126.36,4,2022,8,5,Saturday,Medium
