product_id,category,sub_category,product_name,product_cost_to_consumer
FUR-BO-10004507,Furniture,Bookcases,"Ikea Corner Shelving, Metal",111.51
FUR-BO-10004529,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",147.87
FUR-BO-10004537,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",108.3
FUR-BO-10004541,Furniture,Bookcases,"Dania Library with Doors, Mobile",302.91
FUR-BO-10004633,Furniture,Bookcases,"Safco Stackable Bookrack, Traditional",130.65
FUR-BO-10004648,Furniture,Bookcases,"Sauder Library with Doors, Pine",330.66
FUR-BO-10004665,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",240.84
FUR-BO-10004670,Furniture,Bookcases,"Dania Library with Doors, Mobile",302.91
FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine",348.12
FUR-BO-10004681,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",87.87
FUR-BO-10004699,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Mobile",143.97
FUR-BO-10004707,Furniture,Bookcases,"Ikea Library with Doors, Traditional",352.5
FUR-BO-10004771,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",325.29
FUR-BO-10004773,Furniture,Bookcases,"Ikea Floating Shelf Set, Mobile",115.83
FUR-BO-10004806,Furniture,Bookcases,"Safco Corner Shelving, Traditional",92.67
FUR-BO-10004821,Furniture,Bookcases,"Dania Corner Shelving, Traditional",109.89
FUR-BO-10004842,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",94.26
FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",274.68
FUR-BO-10004878,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",82.62
FUR-BO-10004911,Furniture,Bookcases,"Ikea Corner Shelving, Mobile",119.31
FUR-BO-10004917,Furniture,Bookcases,"Dania Stackable Bookrack, Mobile",76.62
FUR-CH-10000005,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",413.55
FUR-CH-10000025,Furniture,Chairs,"Office Star Rocking Chair, Set of Two",114.54
FUR-CH-10000026,Furniture,Chairs,"SAFCO Rocking Chair, Black",127.2
FUR-CH-10000027,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",399.33
FUR-CH-10000042,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",92.4
FUR-CH-10000051,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",331.53
FUR-CH-10000068,Furniture,Chairs,"SAFCO Rocking Chair, Black",127.2
FUR-CH-10000110,Furniture,Chairs,"Hon Bag Chairs, Red",25.74
FUR-CH-10000117,Furniture,Chairs,"Novimex Steel Folding Chair, Black",65.46
FUR-CH-10000187,Furniture,Chairs,"Hon Chairmat, Red",41.67
FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair, Set of Two",127.56
FUR-CH-10000258,Furniture,Chairs,"Office Star Steel Folding Chair, Red",86.22
FUR-CH-10000294,Furniture,Chairs,"Office Star Swivel Stool, Red",135.69
FUR-CH-10000351,Furniture,Chairs,"Novimex Chairmat, Set of Two",36.93
FUR-CH-10000373,Furniture,Chairs,"Hon Steel Folding Chair, Set of Two",42.69
FUR-CH-10000391,Furniture,Chairs,"Novimex Bag Chairs, Red",42.3
FUR-CH-10000430,Furniture,Chairs,"SAFCO Swivel Stool, Red",102.45
FUR-CH-10000432,Furniture,Chairs,"Harbour Creations Swivel Stool, Adjustable",171.66
FUR-CH-10000438,Furniture,Chairs,"Novimex Chairmat, Adjustable",58.83
FUR-CH-10000470,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",441.81
FUR-CH-10000527,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",385.95
FUR-CH-10000602,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",441.81
FUR-CH-10000608,Furniture,Chairs,"Office Star Chairmat, Set of Two",42.9
FUR-CH-10000660,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",314.31
FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",47.64
FUR-CH-10000689,Furniture,Chairs,"SAFCO Chairmat, Red",36.51
FUR-CH-10000694,Furniture,Chairs,"Novimex Steel Folding Chair, Red",64.14
FUR-CH-10000783,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",413.55
FUR-CH-10000790,Furniture,Chairs,"Hon Chairmat, Adjustable",29.01
FUR-CH-10000825,Furniture,Chairs,"SAFCO Chairmat, Red",36.51
FUR-CH-10000974,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",331.53
FUR-CH-10000981,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",158.4
FUR-CH-10000994,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",120.09
FUR-CH-10001138,Furniture,Chairs,"Office Star Swivel Stool, Black",101.22
FUR-CH-10001147,Furniture,Chairs,"Hon Swivel Stool, Adjustable",151.2
FUR-CH-10001187,Furniture,Chairs,"Novimex Chairmat, Set of Two",36.93
FUR-CH-10001191,Furniture,Chairs,"Hon Bag Chairs, Adjustable",36.21
FUR-CH-10001203,Furniture,Chairs,"Novimex Steel Folding Chair, Set of Two",81.12
FUR-CH-10001204,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red",59.73
FUR-CH-10001207,Furniture,Chairs,"Hon Executive Leather Armchair, Red",390.51
FUR-CH-10001220,Furniture,Chairs,"Harbour Creations Chairmat, Set of Two",73.53
FUR-CH-10001262,Furniture,Chairs,"Office Star Rocking Chair, Set of Two",114.54
FUR-CH-10001271,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",327.63
FUR-CH-10001313,Furniture,Chairs,"SAFCO Steel Folding Chair, Black",45
FUR-CH-10001317,Furniture,Chairs,"Harbour Creations Rocking Chair, Red",108.87
FUR-CH-10001322,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",371.37
FUR-CH-10001382,Furniture,Chairs,"Office Star Chairmat, Red",33.57
FUR-CH-10001397,Furniture,Chairs,"SAFCO Chairmat, Set of Two",40.35
FUR-CH-10001414,Furniture,Chairs,"Hon Chairmat, Red",41.67
FUR-CH-10001415,Furniture,Chairs,"Office Star Executive Leather Armchair, Red",324.09
FUR-CH-10001465,Furniture,Chairs,"Hon Swivel Stool, Red",88.38
FUR-CH-10001477,Furniture,Chairs,"Novimex Chairmat, Black",30.75
FUR-CH-10001536,Furniture,Chairs,"Harbour Creations Chairmat, Red",38.16
FUR-CH-10001559,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",399.33
FUR-CH-10001664,Furniture,Chairs,"Novimex Swivel Stool, Black",126.39
FUR-CH-10001684,Furniture,Chairs,"Office Star Rocking Chair, Adjustable",140.55
FUR-CH-10001695,Furniture,Chairs,"Harbour Creations Chairmat, Set of Two",73.53
FUR-CH-10001752,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Black",75.42
FUR-CH-10001756,Furniture,Chairs,"Novimex Bag Chairs, Adjustable",27.63
FUR-CH-10001797,Furniture,Chairs,"Harbour Creations Bag Chairs, Adjustable",39.75
FUR-CH-10001805,Furniture,Chairs,"Office Star Chairmat, Set of Two",42.9
FUR-CH-10001832,Furniture,Chairs,"Novimex Rocking Chair, Red",120.93
FUR-CH-10001871,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",94.14
FUR-CH-10001895,Furniture,Chairs,"Hon Chairmat, Adjustable",29.01
FUR-CH-10001913,Furniture,Chairs,"Office Star Swivel Stool, Adjustable",153.51
FUR-CH-10001919,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Red",59.73
FUR-CH-10002045,Furniture,Chairs,"SAFCO Bag Chairs, Red",38.58
FUR-CH-10002060,Furniture,Chairs,"SAFCO Rocking Chair, Adjustable",114.06
FUR-CH-10002061,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",361.68
FUR-CH-10002091,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two",120.39
FUR-CH-10002117,Furniture,Chairs,"Hon Steel Folding Chair, Red",50.49
FUR-CH-10002188,Furniture,Chairs,"SAFCO Steel Folding Chair, Set of Two",51.03
FUR-CH-10002207,Furniture,Chairs,"Hon Chairmat, Set of Two",32.37
FUR-CH-10002209,Furniture,Chairs,"Novimex Chairmat, Red",40.59
FUR-CH-10002213,Furniture,Chairs,"Hon Executive Leather Armchair, Black",411.45
FUR-CH-10002224,Furniture,Chairs,"Hon Rocking Chair, Set of Two",127.56
FUR-CH-10002228,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",94.14
FUR-CH-10002247,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",372.33
FUR-CH-10002250,Furniture,Chairs,"Office Star Executive Leather Armchair, Black",247.74
FUR-CH-10002273,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",120.09
FUR-CH-10002316,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",38.22
FUR-CH-10002335,Furniture,Chairs,"Hon Bag Chairs, Set of Two",36.03
FUR-CH-10002344,Furniture,Chairs,"Novimex Rocking Chair, Adjustable",79.02
FUR-CH-10002362,Furniture,Chairs,"Hon Bag Chairs, Red",25.74
FUR-CH-10002410,Furniture,Chairs,"Office Star Rocking Chair, Red",125.43
FUR-CH-10002412,Furniture,Chairs,"Hon Bag Chairs, Black",42.3
FUR-CH-10002417,Furniture,Chairs,"Hon Rocking Chair, Red",79.68
FUR-CH-10002435,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",444.24
FUR-CH-10002468,Furniture,Chairs,"Hon Rocking Chair, Adjustable",98.52
FUR-CH-10002510,Furniture,Chairs,"Office Star Steel Folding Chair, Adjustable",50.88
FUR-CH-10002573,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",385.95
FUR-CH-10002589,Furniture,Chairs,"SAFCO Steel Folding Chair, Red",68.58
FUR-CH-10002626,Furniture,Chairs,"Hon Steel Folding Chair, Adjustable",42.81
FUR-CH-10002631,Furniture,Chairs,"Office Star Bag Chairs, Black",48.24
FUR-CH-10002743,Furniture,Chairs,"Novimex Chairmat, Adjustable",58.83
FUR-CH-10002749,Furniture,Chairs,"SAFCO Chairmat, Black",47.64
FUR-CH-10002793,Furniture,Chairs,"Office Star Bag Chairs, Adjustable",39.99
FUR-CH-10002872,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable",431.46
FUR-CH-10002890,Furniture,Chairs,"Office Star Chairmat, Adjustable",62.19
FUR-CH-10002923,Furniture,Chairs,"SAFCO Rocking Chair, Set of Two",105.63
FUR-CH-10002932,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",134.64
FUR-CH-10002938,Furniture,Chairs,"Novimex Chairmat, Red",40.59
FUR-CH-10002940,Furniture,Chairs,"Harbour Creations Chairmat, Black",61.92
FUR-CH-10002944,Furniture,Chairs,"Office Star Steel Folding Chair, Black",83.94
FUR-CH-10002966,Furniture,Chairs,"Harbour Creations Swivel Stool, Red",174.72
FUR-CH-10002980,Furniture,Chairs,"Hon Executive Leather Armchair, Red",390.51
FUR-CH-10002989,Furniture,Chairs,"SAFCO Bag Chairs, Adjustable",43.65
FUR-CH-10003009,Furniture,Chairs,"Novimex Swivel Stool, Adjustable",125.22
FUR-CH-10003097,Furniture,Chairs,"Hon Rocking Chair, Black",98.73
FUR-CH-10003123,Furniture,Chairs,"Hon Chairmat, Black",44.1
FUR-CH-10003143,Furniture,Chairs,"Harbour Creations Bag Chairs, Black",30.21
FUR-CH-10003232,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",320.43
FUR-CH-10003282,Furniture,Chairs,"SAFCO Bag Chairs, Black",30.57
FUR-CH-10003312,Furniture,Chairs,"SAFCO Swivel Stool, Adjustable",109.08
FUR-CH-10003336,Furniture,Chairs,"SAFCO Chairmat, Adjustable",52.35
FUR-CH-10003341,Furniture,Chairs,"Office Star Chairmat, Red",33.57
FUR-CH-10003354,Furniture,Chairs,"Novimex Bag Chairs, Black",43.11
FUR-CH-10003419,Furniture,Chairs,"Hon Steel Folding Chair, Black",67.95
FUR-CH-10003508,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",158.4
FUR-CH-10003512,Furniture,Chairs,"Novimex Bag Chairs, Set of Two",32.31
FUR-CH-10003551,Furniture,Chairs,"Hon Swivel Stool, Black",83.85
FUR-CH-10003558,Furniture,Chairs,"Hon Swivel Stool, Black",83.85
FUR-CH-10003580,Furniture,Chairs,"Harbour Creations Bag Chairs, Black",30.21
FUR-CH-10003581,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",291.03
FUR-CH-10003597,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two",278.22
FUR-CH-10003608,Furniture,Chairs,"SAFCO Chairmat, Set of Two",40.35
FUR-CH-10003616,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",262.47
FUR-CH-10003618,Furniture,Chairs,"SAFCO Rocking Chair, Red",95.79
FUR-CH-10003692,Furniture,Chairs,"SAFCO Swivel Stool, Set of Two",151.47
FUR-CH-10003702,Furniture,Chairs,"Office Star Rocking Chair, Adjustable",140.55
FUR-CH-10003760,Furniture,Chairs,"Office Star Bag Chairs, Set of Two",31.17
FUR-CH-10003771,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Black",75.42
FUR-CH-10003822,Furniture,Chairs,"SAFCO Steel Folding Chair, Adjustable",46.77
FUR-CH-10003836,Furniture,Chairs,"Harbour Creations Rocking Chair, Red",108.87
FUR-CH-10003841,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",92.4
FUR-CH-10003846,Furniture,Chairs,"Office Star Swivel Stool, Set of Two",176.19
FUR-CH-10003861,Furniture,Chairs,"Novimex Rocking Chair, Set of Two",74.88
FUR-CH-10003875,Furniture,Chairs,"Office Star Swivel Stool, Set of Two",176.19
FUR-CH-10003894,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Adjustable",57.24
FUR-CH-10003910,Furniture,Chairs,"Harbour Creations Chairmat, Adjustable",41.73
FUR-CH-10003948,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two",120.39
FUR-CH-10003950,Furniture,Chairs,"Novimex Executive Leather Armchair, Black",444.24
FUR-CH-10003965,Furniture,Chairs,"Hon Rocking Chair, Red",79.68
FUR-CH-10004007,Furniture,Chairs,"SAFCO Steel Folding Chair, Set of Two",51.03
FUR-CH-10004009,Furniture,Chairs,"SAFCO Rocking Chair, Set of Two",105.63
FUR-CH-10004026,Furniture,Chairs,"SAFCO Rocking Chair, Adjustable",114.06
FUR-CH-10004049,Furniture,Chairs,"SAFCO Bag Chairs, Set of Two",31.56
FUR-CH-10004050,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",314.31
FUR-CH-10004065,Furniture,Chairs,"SAFCO Bag Chairs, Adjustable",43.65
FUR-CH-10004082,Furniture,Chairs,"Office Star Chairmat, Black",40.59
FUR-CH-10004089,Furniture,Chairs,"Harbour Creations Bag Chairs, Set of Two",45.36
FUR-CH-10004163,Furniture,Chairs,"Novimex Steel Folding Chair, Adjustable",67.8
FUR-CH-10004196,Furniture,Chairs,"Novimex Swivel Stool, Red",123.36
FUR-CH-10004199,Furniture,Chairs,"SAFCO Executive Leather Armchair, Adjustable",431.46
FUR-CH-10004306,Furniture,Chairs,"SAFCO Bag Chairs, Red",38.58
FUR-CH-10004312,Furniture,Chairs,"Hon Bag Chairs, Set of Two",36.03
FUR-CH-10004331,Furniture,Chairs,"SAFCO Rocking Chair, Red",95.79
FUR-CH-10004339,Furniture,Chairs,"SAFCO Steel Folding Chair, Red",68.58
FUR-CH-10004365,Furniture,Chairs,"Novimex Rocking Chair, Black",108.36
FUR-CH-10004387,Furniture,Chairs,"Office Star Bag Chairs, Red",47.13
FUR-CH-10004441,Furniture,Chairs,"SAFCO Bag Chairs, Black",30.57
FUR-CH-10004447,Furniture,Chairs,"Harbour Creations Rocking Chair, Set of Two",146.37
FUR-CH-10004448,Furniture,Chairs,"Hon Chairmat, Set of Two",32.37
