order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit,profit_margin
IN-2021-21381,18/05/2021,23/05/2021,Standard Class,DB-13555,FUR-BO-10000112,229.5612,2,0.07,51.7812,0.23
IN-2019-69429,17/07/2019,21/07/2019,Standard Class,CC-12610,FUR-BO-10000175,244.08,2,0,68.34,0.28
IN-2019-65320,26/06/2019,30/06/2019,Standard Class,GW-14605,FUR-BO-10000175,439.344,4,0.1,87.864,0.2
IN-2020-63395,09/10/2020,13/10/2020,Standard Class,JP-15460,FUR-BO-10000175,567.486,5,0.07,128.136,0.23
IN-2019-14332,17/11/2019,20/11/2019,First Class,AW-10840,FUR-BO-10000175,195.264,2,0.2,19.524,0.1
IN-2021-37628,29/11/2021,02/12/2021,Second Class,AR-10570,FUR-BO-10000175,488.16,4,0,136.68,0.28
IN-2021-33785,06/06/2021,12/06/2021,Standard Class,BT-11680,FUR-BO-10000195,248.22,2,0,96.78,0.39
IN-2021-74329,16/08/2021,22/08/2021,Standard Class,BF-11215,FUR-BO-10000195,446.796,4,0.1,143.916,0.32
IN-2022-56591,30/12/2022,05/01/2023,Standard Class,DK-12985,FUR-BO-10000195,484.029,6,0.35,29.709,0.06
IN-2020-67931,16/05/2020,21/05/2020,Standard Class,JF-15190,FUR-BO-10000203,2438.667,7,0.1,867.027,0.36
IN-2021-40477,04/06/2021,08/06/2021,Standard Class,NB-18655,FUR-BO-10000203,1548.36,4,0,650.28,
IN-2021-55555,06/03/2021,10/03/2021,Standard Class,VP-21760,FUR-BO-10000203,719.9874,2,0.07,270.9474,0.38
IN-2022-52174,23/10/2022,26/10/2022,Second Class,JO-15145,FUR-BO-10000203,696.762,2,0.1,247.722,0.36
IN-2020-69044,25/05/2020,27/05/2020,First Class,EB-13840,FUR-BO-10000203,774.18,2,0,325.14,0.42
IN-2021-59160,10/09/2021,10/09/2021,Same Day,JH-15820,FUR-BO-10000203,696.762,2,0.1,247.722,0.36
IN-2022-73265,06/08/2022,10/08/2022,Second Class,MT-17815,FUR-BO-10000208,988.08,8,0,276.48,0.28
ID-2020-65236,29/08/2020,03/09/2020,Standard Class,AA-10375,FUR-BO-10000208,185.265,3,0.5,-81.585,-0.44
IN-2019-69429,17/07/2019,21/07/2019,,CC-12610,FUR-BO-10000208,1729.14,14,0,483.84,0.28
IN-2022-70493,23/10/2022,26/10/2022,Second Class,TZ-21445,FUR-BO-10000208,617.55,5,0,172.8,0.28
IN-2019-34751,08/12/2019,12/12/2019,Standard Class,JP-16135,FUR-BO-10000208,370.53,3,0,103.68,0.28
IN-2020-50942,15/11/2020,20/11/2020,Second Class,JB-16000,FUR-BO-10000210,729.48,2,0,218.82,0.3
IN-2020-55541,05/12/2020,08/12/2020,First Class,EH-13765,FUR-BO-10000210,729.48,2,0,218.82,0.3
IN-2022-23761,02/06/2022,04/06/2022,First Class,MH-18115,FUR-BO-10000210,1094.22,3,0,328.23,0.3
IN-2022-57683,11/09/2022,15/09/2022,Standard Class,DL-13330,FUR-BO-10000210,1094.22,3,0,328.23,0.3
IN-2022-13954,21/02/2022,27/02/2022,Standard Class,AB-10600,FUR-BO-10000210,2042.544,7,0.2,255.234,0.12
IN-2020-29228,21/01/2020,26/01/2020,Standard Class,AR-10510,FUR-BO-10000210,656.532,2,0.1,145.872,0.22
IN-2019-56878,15/11/2019,22/11/2019,Standard Class,EB-14110,FUR-BO-10000210,1356.8328,4,0.07,335.5128,0.25
IN-2021-61232,06/07/2021,12/07/2021,Standard Class,HG-14965,FUR-BO-10000243,1386.63,7,0,360.36,0.26
ID-2022-48793,18/10/2022,22/10/2022,Standard Class,JA-15970,FUR-BO-10000243,1123.1703,9,0.37,-196.3197,-0.17
ID-2020-37047,23/11/2020,30/11/2020,Standard Class,AG-10675,FUR-BO-10000243,891.405,5,0.1,158.355,0.18
ID-2021-15032,01/10/2021,05/10/2021,Standard Class,CC-12370,FUR-BO-10000243,1289.5659,7,0.07,263.2959,0.2
IN-2021-59755,27/04/2021,30/04/2021,Second Class,PG-18820,FUR-BO-10000288,1314.45,3,0,39.42,0.03
ID-2021-35640,28/08/2021,30/08/2021,Second Class,CR-12625,FUR-BO-10000288,2760.345,7,0.1,-214.725,-0.08
IN-2020-42052,28/03/2020,28/03/2020,Same Day,CS-12490,FUR-BO-10000288,1314.45,3,0,39.42,
ID-2021-69170,17/05/2021,21/05/2021,Second Class,ML-17755,FUR-BO-10000288,788.67,2,0.1,-61.35,-0.08
IN-2022-47449,12/07/2022,13/07/2022,First Class,CD-12280,FUR-BO-10000288,2190.75,5,0,65.7,0.03
ID-2022-83324,26/08/2022,29/08/2022,First Class,TZ-21445,FUR-BO-10000321,274.992,4,0.6,-158.208,-0.58
ID-2021-84500,06/12/2021,10/12/2021,Standard Class,GZ-14470,FUR-BO-10000321,618.732,6,0.4,-31.068,-0.05
IN-2020-68358,08/06/2020,12/06/2020,Standard Class,ML-18265,FUR-BO-10000402,438.84,3,0,65.79,0.15
IN-2020-70220,07/09/2020,13/09/2020,Standard Class,SB-20170,FUR-BO-10000402,394.956,3,0.1,21.906,0.06
IN-2020-80370,12/07/2020,14/07/2020,First Class,JH-15430,FUR-BO-10000425,342.54,2,0,92.46,0.27
ID-2021-83758,12/07/2021,16/07/2021,Standard Class,CJ-11875,FUR-BO-10000425,616.572,6,0.4,-133.668,-0.22
IN-2019-74945,23/03/2019,29/03/2019,Standard Class,DP-13000,FUR-BO-10000610,394.065,5,0.37,75.015,0.19
IN-2019-62737,17/11/2019,23/11/2019,Standard Class,PL-18925,FUR-BO-10000610,250.2,2,0,122.58,0.49
IN-2022-31622,21/04/2022,25/04/2022,Standard Class,SS-20590,FUR-BO-10000610,500.4,4,0,245.16,0.49
IN-2021-48282,30/11/2021,04/12/2021,Standard Class,TT-21460,FUR-BO-10000610,232.686,2,0.07,105.066,
IN-2020-85627,19/06/2020,25/06/2020,Standard Class,EC-14050,FUR-BO-10000616,444.312,6,0.4,-89.028,-0.2
ID-2022-85228,07/11/2022,10/11/2022,Second Class,CC-12685,FUR-BO-10000623,311.4,2,0.6,-373.68,-1.2
IN-2022-48814,23/12/2022,30/12/2022,Standard Class,ME-17320,FUR-BO-10000655,1109.052,3,0.1,86.202,0.08
IN-2020-12589,27/01/2020,27/01/2020,Same Day,TG-21640,FUR-BO-10000666,1014.72,7,0,141.96,0.14
IN-2022-27478,04/02/2022,09/02/2022,Standard Class,SJ-20215,FUR-BO-10000666,289.92,2,0,40.56,0.14
IN-2021-52566,11/10/2021,17/10/2021,Standard Class,JS-16030,FUR-BO-10000668,276.2613,1,,-109.6287,
IN-2022-72516,02/06/2022,04/06/2022,First Class,IM-15070,FUR-BO-10000668,815.6286,2,0.07,43.8486,
IN-2022-27933,22/07/2022,29/07/2022,Standard Class,KM-16660,FUR-BO-10000668,2039.0715,5,0.07,109.6215,0.05
IN-2022-81035,22/05/2022,26/05/2022,Standard Class,LB-16795,FUR-BO-10000668,246.12,2,0,66.42,0.27
IN-2021-38034,18/09/2021,20/09/2021,First Class,DB-13210,FUR-BO-10000670,364.59,3,0,153.09,0.42
IN-2022-75603,31/12/2022,05/01/2023,Second Class,BS-11365,FUR-BO-10000670,364.59,3,0,153.09,0.42
IN-2021-73825,06/09/2021,12/09/2021,Standard Class,KW-16570,FUR-BO-10000670,875.016,8,0.1,311.016,0.36
IN-2021-64452,09/07/2021,14/07/2021,Standard Class,KH-16330,FUR-BO-10000670,972.24,8,0,408.24,0.42
ID-2021-62177,18/10/2021,22/10/2021,Standard Class,JW-16075,FUR-BO-10000670,486.12,8,0.5,-77.88,-0.16
ID-2021-38776,20/08/2021,25/08/2021,Standard Class,DR-12880,FUR-BO-10000676,567.135,9,,-510.435,-0.9
IN-2022-11231,16/12/2022,19/12/2022,First Class,CS-11845,FUR-BO-10000676,630.15,5,0,31.5,0.05
ID-2020-64844,17/05/2020,22/05/2020,Standard Class,SZ-20035,FUR-BO-10000676,163.839,2,0.35,-75.621,-0.46
ID-2021-69247,08/11/2021,11/11/2021,Second Class,KH-16360,FUR-BO-10000699,900.072,6,0.1,9.972,0.01
ID-2022-47547,23/05/2022,27/05/2022,Standard Class,CJ-11875,FUR-BO-10000699,266.688,2,0.2,-30.012,-0.11
IN-2020-70829,18/08/2020,24/08/2020,Standard Class,KH-16510,FUR-BO-10000699,1333.44,8,0,146.64,0.11
ID-2022-35052,21/08/2022,28/08/2022,Standard Class,SH-20635,FUR-BO-10000699,465.0372,3,0.07,19.9872,
IN-2022-75470,11/03/2022,13/03/2022,Second Class,CS-12460,FUR-BO-10000699,166.68,1,0,18.33,0.11
IN-2021-16992,16/11/2021,19/11/2021,Second Class,SC-20575,FUR-BO-10000699,666.72,4,0,73.32,0.11
ID-2022-82645,05/02/2022,10/02/2022,Standard Class,JC-15385,FUR-BO-10000700,232.848,2,,-97.032,-0.42
IN-2020-82918,14/11/2020,19/11/2020,Standard Class,BS-11755,FUR-BO-10000712,250.68,2,0,112.8,0.45
ID-2022-83240,30/09/2022,05/10/2022,Second Class,AD-10180,FUR-BO-10000807,473.04,4,0.4,-23.76,-0.05
ID-2020-64655,06/10/2020,12/10/2020,Standard Class,TC-21535,FUR-BO-10000883,78.4917,1,0.37,-44.8683,-0.57
IN-2021-17566,05/08/2021,11/08/2021,Standard Class,EH-13765,FUR-BO-10000883,872.13,7,0,8.61,0.01
ID-2021-80314,04/10/2021,04/10/2021,Same Day,CK-12205,FUR-BO-10000889,205.632,2,0.4,-85.728,-0.42
IN-2022-86684,29/01/2022,31/01/2022,Second Class,CG-12040,FUR-BO-10000892,759.06,6,0,15.12,0.02
IN-2022-21619,23/01/2022,28/01/2022,Standard Class,CM-12445,FUR-BO-10000895,582.426,6,0.35,26.766,0.05
IN-2020-42766,28/08/2020,01/09/2020,Standard Class,SO-20335,FUR-BO-10000961,786.618,7,0.1,227.178,0.29
IN-2022-58152,01/01/2022,07/01/2022,Standard Class,AA-10315,FUR-BO-10000961,499.44,4,,179.76,0.36
IN-2022-20499,26/03/2022,29/03/2022,Second Class,GW-14605,FUR-BO-10000961,374.58,3,0,134.82,0.36
ID-2021-69170,17/05/2021,21/05/2021,Second Class,ML-17755,FUR-BO-10000961,224.748,2,0.1,64.908,0.29
ID-2022-17314,08/11/2022,10/11/2022,Second Class,AS-10090,FUR-BO-10000961,312.15,5,0.5,-87.45,-0.28
IN-2021-36963,24/12/2021,26/12/2021,First Class,VG-21805,FUR-BO-10000980,1092.96,3,,393.39,0.36
ID-2021-60896,06/08/2021,08/08/2021,First Class,JE-16165,FUR-BO-10000980,677.6352,2,0.07,211.2552,0.31
ID-2022-20205,22/10/2022,27/10/2022,Standard Class,JC-15340,FUR-BO-10000980,291.456,1,0.2,58.266,0.2
IN-2020-60714,09/11/2020,13/11/2020,Standard Class,CJ-11875,FUR-BO-10000980,1821.6,5,0,655.65,0.36
IN-2020-65537,11/09/2020,15/09/2020,Standard Class,MT-17815,FUR-BO-10000980,677.6352,2,0.07,211.2552,0.31
IN-2021-42311,28/02/2021,01/03/2021,First Class,MH-17785,FUR-BO-10000980,364.32,1,0,131.13,0.36
IN-2022-27891,23/09/2022,29/09/2022,Standard Class,VP-21760,FUR-BO-10000980,364.32,1,0,131.13,0.36
IN-2022-29207,22/07/2022,27/07/2022,Standard Class,ML-17755,FUR-BO-10001073,551.3886,2,0.37,-157.5714,-0.29
IN-2020-47918,06/03/2020,11/03/2020,Second Class,GB-14530,FUR-BO-10001073,2756.943,7,0.1,275.583,0.1
IN-2021-74567,23/08/2021,26/08/2021,First Class,EB-13750,FUR-BO-10001073,875.22,2,0,166.26,0.19
IN-2022-75470,11/03/2022,13/03/2022,Second Class,CS-12460,FUR-BO-10001073,3063.27,7,0,581.91,0.19
IN-2021-70297,17/12/2021,21/12/2021,Standard Class,LS-16975,FUR-BO-10001147,341.46,2,0,88.74,0.26
IN-2022-49395,04/04/2022,09/04/2022,Standard Class,SD-20485,FUR-BO-10001147,153.657,1,0.1,27.297,0.18
IN-2021-14472,20/08/2021,24/08/2021,Standard Class,RA-19285,FUR-BO-10001147,512.19,3,0,133.11,0.26
IN-2022-32308,27/08/2022,31/08/2022,Standard Class,BS-11365,FUR-BO-10001147,170.73,1,0,44.37,0.26
IN-2022-54253,05/05/2022,10/05/2022,Standard Class,JF-15190,FUR-BO-10001147,853.65,5,0,221.85,0.26
IN-2022-23432,06/06/2022,10/06/2022,Standard Class,TS-21610,FUR-BO-10001147,752.9193,7,0.37,-131.6007,-0.17
ID-2019-57179,13/09/2019,18/09/2019,Standard Class,EM-13825,FUR-BO-10001155,339.48,3,0.2,-59.49,-0.18
IN-2021-78809,23/01/2021,25/01/2021,Second Class,AG-10900,FUR-BO-10001155,424.35,3,0,25.38,0.06
IN-2021-45692,18/06/2021,21/06/2021,Second Class,EA-14035,FUR-BO-10001155,381.915,3,0.1,-17.055,-0.04
ID-2022-41191,07/11/2022,09/11/2022,First Class,DK-12895,FUR-BO-10001155,394.6455,3,0.07,-4.3245,-0.01
IN-2019-28654,07/05/2019,11/05/2019,Standard Class,TC-20980,FUR-BO-10001155,424.35,3,0,25.38,0.06
IN-2019-41394,26/11/2019,01/12/2019,Standard Class,AG-10675,FUR-BO-10001155,183.885,2,0.35,-82.095,-0.45
ID-2021-15837,18/09/2021,21/09/2021,First Class,LC-16870,FUR-BO-10001192,586.944,2,0.2,168.744,0.29
ID-2022-19113,27/08/2022,01/09/2022,Standard Class,HM-14860,FUR-BO-10001192,880.416,4,0.4,44.016,0.05
IN-2019-43109,28/09/2019,04/10/2019,Standard Class,WB-21850,FUR-BO-10001192,1100.52,3,0,473.22,0.43
IN-2021-22578,30/10/2021,01/11/2021,First Class,AB-10015,FUR-BO-10001192,660.312,2,0.1,242.112,0.37
IN-2021-15340,18/11/2021,19/11/2021,First Class,TC-21535,FUR-BO-10001192,366.84,1,0,157.74,0.43
ID-2022-22242,31/10/2022,04/11/2022,Standard Class,GH-14410,FUR-BO-10001192,660.312,2,0.1,242.112,0.37
IN-2021-16964,01/10/2021,04/10/2021,First Class,KS-16300,FUR-BO-10001192,1320.624,4,0.1,484.224,0.37
IN-2021-36963,24/12/2021,26/12/2021,First Class,VG-21805,FUR-BO-10001196,731.34,2,0,175.5,0.24
IN-2020-79649,28/09/2020,02/10/2020,Standard Class,MK-17905,FUR-BO-10001196,691.1163,3,0.37,-142.6437,-0.21
IN-2019-42619,21/07/2019,23/07/2019,Second Class,BS-11755,FUR-BO-10001196,1535.814,7,0.4,-409.626,-0.27
IN-2022-55730,02/10/2022,06/10/2022,Standard Class,MG-17890,FUR-BO-10001196,1828.35,5,0,438.75,0.24
IN-2022-57837,19/09/2022,21/09/2022,Second Class,CS-12130,FUR-BO-10001212,1586.412,4,0.1,17.532,0.01
IN-2022-73377,05/09/2022,11/09/2022,Standard Class,LL-16840,FUR-BO-10001212,793.206,2,0.1,8.766,0.01
IN-2021-22760,15/06/2021,19/06/2021,Standard Class,VT-21700,FUR-BO-10001212,1322.01,3,0,145.35,0.11
IN-2021-63745,02/06/2021,05/06/2021,Second Class,NF-18385,FUR-BO-10001212,793.206,2,0.1,8.766,0.01
IN-2022-39077,19/07/2022,23/07/2022,Standard Class,JK-16120,FUR-BO-10001212,3278.5848,8,0.07,140.8248,0.04
ID-2021-65852,09/10/2021,15/10/2021,Standard Class,CK-12325,FUR-BO-10001212,555.2442,2,0.37,-229.1958,-0.41
ID-2020-62240,20/04/2020,25/04/2020,Standard Class,BD-11605,FUR-BO-10001212,859.3065,3,,-317.3535,-0.37
ID-2020-73391,13/03/2020,18/03/2020,Standard Class,PV-18985,FUR-BO-10001216,219.96,2,0.35,16.92,0.08
IN-2019-68729,23/06/2019,25/06/2019,Second Class,SG-20605,FUR-BO-10001216,507.6,3,0,203.04,0.4
ID-2019-20604,04/06/2019,05/06/2019,First Class,RF-19345,FUR-BO-10001216,1353.6,8,0,541.44,0.4
IN-2021-28892,09/02/2021,15/02/2021,Standard Class,CK-12595,FUR-BO-10001216,629.424,4,0.07,223.344,0.35
ID-2022-35269,09/01/2022,09/01/2022,Same Day,JC-15340,FUR-BO-10001216,769.86,7,0.35,59.22,0.08
ID-2022-86649,21/05/2022,23/05/2022,First Class,PC-18745,FUR-BO-10001233,57.984,1,0.6,-66.696,-1.15
ID-2022-82309,16/08/2022,21/08/2022,Standard Class,FW-14395,FUR-BO-10001233,695.808,8,0.4,-301.632,-0.43
IN-2021-80048,25/05/2021,29/05/2021,Standard Class,NC-18625,FUR-BO-10001254,287.94,2,0,0,0
IN-2021-11938,01/11/2021,05/11/2021,Standard Class,EL-13735,FUR-BO-10001255,2634.552,8,0.1,116.952,0.04
IN-2022-20646,05/11/2022,09/11/2022,Standard Class,MC-17605,FUR-BO-10001255,548.865,3,0.5,-395.235,-0.72
IN-2022-29767,22/03/2022,29/03/2022,Standard Class,CA-12055,FUR-BO-10001255,731.82,2,0,102.42,0.14
IN-2022-51628,19/05/2022,22/05/2022,Second Class,SR-20740,FUR-BO-10001255,987.957,3,0.1,43.857,0.04
IN-2021-85662,18/10/2021,20/10/2021,Second Class,CK-12595,FUR-BO-10001309,823.5,2,0,172.92,0.21
IN-2019-82330,08/10/2019,14/10/2019,Standard Class,AA-10375,FUR-BO-10001309,411.75,1,0,86.46,0.21
IN-2021-33785,06/06/2021,12/06/2021,Standard Class,BT-11680,FUR-BO-10001326,144.72,1,0,24.6,0.17
IN-2020-33813,20/06/2020,24/06/2020,Standard Class,CA-12055,FUR-BO-10001326,434.16,3,0,73.8,0.17
IN-2020-53357,03/06/2020,08/06/2020,Standard Class,RA-19885,FUR-BO-10001326,434.16,3,0,73.8,0.17
IN-2020-54729,21/12/2020,24/12/2020,First Class,PV-18985,FUR-BO-10001326,434.16,3,0,73.8,0.17
ID-2020-61722,14/11/2020,17/11/2020,First Class,TC-21145,FUR-BO-10001342,96.798,1,0.35,-52.122,-0.54
ID-2021-23971,06/09/2021,11/09/2021,Second Class,MC-17605,FUR-BO-10001342,804.168,6,0.1,-89.352,-0.11
IN-2021-17139,01/08/2021,06/08/2021,Standard Class,JM-15655,FUR-BO-10001342,148.92,1,0,0,0
IN-2022-48310,12/11/2022,16/11/2022,Standard Class,JK-16090,FUR-BO-10001342,297.84,2,,0,0
IN-2019-59510,19/03/2019,24/03/2019,Standard Class,DK-12985,FUR-BO-10001342,595.68,4,,0,0
IN-2022-38335,27/10/2022,28/10/2022,First Class,TC-21475,FUR-BO-10001342,402.084,3,0.1,-44.676,-0.11
IN-2019-86278,07/10/2019,12/10/2019,Standard Class,NH-18610,FUR-BO-10001362,822.42,2,0,123.36,0.15
ID-2022-84661,16/12/2022,21/12/2022,Second Class,RP-19390,FUR-BO-10001362,493.452,2,0.4,-205.608,-0.42
IN-2019-86460,14/10/2019,16/10/2019,Second Class,JJ-15760,FUR-BO-10001370,263.106,1,0.4,-122.784,-0.47
IN-2020-83471,27/12/2020,28/12/2020,First Class,VT-21700,FUR-BO-10001370,877.02,2,0,105.24,0.12
IN-2020-79439,05/02/2020,09/02/2020,Second Class,EM-13810,FUR-BO-10001372,3076.5,7,0,215.25,0.07
IN-2022-34317,13/02/2022,15/02/2022,Second Class,AM-10705,FUR-BO-10001372,1186.65,3,,-39.6,-0.03
IN-2019-41254,23/06/2019,27/06/2019,Standard Class,SC-20230,FUR-BO-10001372,2637,6,0,184.5,0.07
IN-2019-10286,18/12/2019,21/12/2019,First Class,PB-19210,FUR-BO-10001372,2197.5,5,0,153.75,0.07
IN-2022-65439,30/05/2022,04/06/2022,Standard Class,JM-15655,FUR-BO-10001385,396.252,3,0.1,149.652,0.38
ID-2020-79586,18/11/2020,24/11/2020,Standard Class,SE-20110,FUR-BO-10001385,409.4604,3,0.07,162.8604,0.4
IN-2021-69009,18/09/2021,25/09/2021,Standard Class,LS-17245,FUR-BO-10001385,953.94,10,0.35,131.94,0.14
IN-2021-26617,19/09/2021,26/09/2021,Standard Class,EP-13915,FUR-BO-10001385,293.52,2,0,129.12,0.44
ID-2022-44117,05/08/2022,09/08/2022,Standard Class,TP-21130,FUR-BO-10001393,321.6591,3,0.37,-132.7509,-0.41
IN-2020-40057,17/03/2020,17/03/2020,Same Day,TM-21490,FUR-BO-10001393,474.8301,3,0.07,20.4201,0.04
IN-2021-76681,26/05/2021,30/05/2021,Standard Class,JE-15715,FUR-BO-10001393,1107.9369,7,0.07,47.6469,0.04
IN-2021-19008,12/12/2021,17/12/2021,Standard Class,HA-14905,FUR-BO-10001393,850.95,5,0,93.6,0.11
IN-2020-21822,04/12/2020,08/12/2020,Standard Class,JS-16030,FUR-BO-10001393,680.76,4,0,74.88,0.11
IN-2020-44474,17/04/2020,21/04/2020,Standard Class,EP-13915,FUR-BO-10001393,408.456,3,0.2,-45.954,-0.11
IN-2022-82008,25/06/2022,02/07/2022,Standard Class,DC-12850,FUR-BO-10001452,248.22,2,0,96.78,0.39
ID-2021-70122,12/06/2021,16/06/2021,Standard Class,AD-10180,FUR-BO-10001461,548.9046,3,0.07,253.7946,0.46
IN-2020-65915,05/06/2020,07/06/2020,Second Class,CC-12145,FUR-BO-10001461,196.74,1,0,98.37,0.5
IN-2021-69051,13/06/2021,17/06/2021,Standard Class,JA-15970,FUR-BO-10001461,590.22,3,0,295.11,0.5
IN-2021-60224,08/08/2021,11/08/2021,First Class,LA-16780,FUR-BO-10001461,786.96,4,0,393.48,0.5
IN-2022-56206,24/06/2022,28/06/2022,Standard Class,MB-17305,FUR-BO-10001471,5486.67,14,0.1,2316.51,0.42
IN-2022-17930,17/10/2022,22/10/2022,Standard Class,MG-17695,FUR-BO-10001471,3048.15,7,0,1463.07,0.48
IN-2019-16985,04/10/2019,09/10/2019,Standard Class,FP-14320,FUR-BO-10001471,1567.62,4,0.1,661.86,0.42
IN-2021-63633,31/08/2021,06/09/2021,Standard Class,DF-13135,FUR-BO-10001471,435.45,1,0,209.01,0.48
IN-2022-21731,22/08/2022,24/08/2022,First Class,CS-12175,FUR-BO-10001501,1236.42,3,0,531.63,0.43
IN-2021-55674,24/10/2021,30/10/2021,Standard Class,CP-12085,FUR-BO-10001501,1298.241,5,0.37,123.591,0.1
IN-2021-10489,31/05/2021,02/06/2021,First Class,GH-14485,FUR-BO-10001501,535.782,2,0.35,65.922,0.12
IN-2020-62373,29/09/2020,30/09/2020,First Class,EM-14140,FUR-BO-10001501,535.782,2,0.35,65.922,0.12
IN-2022-51607,19/11/2022,24/11/2022,Standard Class,HD-14785,FUR-BO-10001501,2060.7,5,0,886.05,0.43
IN-2021-65145,26/01/2021,31/01/2021,Standard Class,CS-11845,FUR-BO-10001501,3709.26,9,0,1594.89,0.43
ID-2021-62163,06/11/2021,12/11/2021,Standard Class,MJ-17740,FUR-BO-10001501,741.852,2,0.1,271.992,0.37
IN-2019-32581,13/12/2019,17/12/2019,Standard Class,MC-17605,FUR-BO-10001501,1112.778,3,0.1,407.988,0.37
IN-2022-60469,27/10/2022,31/10/2022,Standard Class,SW-20455,FUR-BO-10001501,329.712,1,0.2,94.782,0.29
ID-2020-75309,11/10/2020,16/10/2020,Standard Class,CC-12610,FUR-BO-10001541,393.504,4,0.2,-59.136,-0.15
ID-2022-40281,30/12/2022,04/01/2023,Standard Class,RA-19945,FUR-BO-10001541,232.4133,3,0.37,-107.0667,-0.46
IN-2022-16054,11/10/2022,13/10/2022,Second Class,PS-18760,FUR-BO-10001541,1029.2589,9,0.07,10.8189,0.01
IN-2019-45398,18/09/2019,21/09/2019,First Class,MA-17560,FUR-BO-10001541,110.673,1,0.1,-2.487,-0.02
IN-2022-37166,24/04/2022,28/04/2022,Standard Class,Dp-13240,FUR-BO-10001541,860.79,7,0,68.67,0.08
ID-2022-54071,09/05/2022,09/05/2022,Same Day,JG-15310,FUR-BO-10001541,309.8844,4,0.37,-142.7556,-0.46
ID-2020-82610,14/02/2020,14/02/2020,Same Day,JL-15850,FUR-BO-10001558,612.684,6,0.4,-296.136,-0.48
IN-2020-80783,01/07/2020,05/07/2020,Second Class,NC-18625,FUR-BO-10001558,340.38,2,,37.44,0.11
IN-2020-64424,03/08/2020,09/08/2020,Standard Class,TH-21115,FUR-BO-10001580,1106.46,9,0,187.92,0.17
IN-2022-19911,22/07/2022,25/07/2022,First Class,ED-13885,FUR-BO-10001580,737.64,6,0,125.28,0.17
ID-2022-25707,07/05/2022,13/05/2022,Standard Class,CS-12355,FUR-BO-10001580,73.764,1,0.4,-28.296,-0.38
IN-2021-20127,19/04/2021,24/04/2021,Standard Class,FG-14260,FUR-BO-10001580,491.76,4,0,83.52,0.17
IN-2022-71382,11/10/2022,16/10/2022,Standard Class,TT-21070,FUR-BO-10001580,737.64,6,0,125.28,0.17
ID-2022-52902,30/12/2022,01/01/2023,First Class,JW-16075,FUR-BO-10001580,387.261,5,0.37,-123.039,-0.32
IN-2022-47799,26/08/2022,30/08/2022,Standard Class,DN-13690,FUR-BO-10001585,591.3,3,,218.7,0.37
