IMDB_id,Name,Summary,Rating,Genres,Network,Premier_Date,Status
tt9253866,Our Planet,<p>Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.</p>,8.5,Nature,,2019-04-05,To Be Determined
tt0944947,Game of Thrones,"<p>Based on the bestselling book series <i>A Song of Ice and Fire</i> by George R.R. Martin, this sprawling new HBO drama is set in a world where summers span decades and winters can last a lifetime. From the scheming south and the savage eastern lands, to the frozen north and ancient Wall that protects the realm from the mysterious darkness beyond, the powerful families of the Seven Kingdoms are locked in a battle for the Iron Throne. This is a story of duplicity and treachery, nobility and honor, conquest and triumph. In the <b>Game of Thrones</b>, you either win or you die.</p>",8.9,"Drama,Adventure,Fantasy",HBO,2011-04-17,Ended
tt0071075,The World at War,"<p>Laurence Olivier narrates the landmark 26-part British documentary series telling the story of World War II, profiling its main campaigns and highlighting the human cost on all sides of the conflict.</p>",9.0,"War,History",ITV1,1973-10-31,Ended
tt2861424,Rick and Morty,"<p>Rick is a mentally gifted, but sociopathic and alcoholic scientist and a grandfather to Morty; an awkward, impressionable, and somewhat spineless teenage boy. Rick moves into the family home of Morty, where he immediately becomes a bad influence.</p>",8.8,"Comedy,Adventure,Science-Fiction",Adult Swim,2013-12-02,Running
tt7678620,Bluey,"<p>Bluey is an inexhaustible six year-old Blue Heeler dog, who loves to play and turns everyday family life into extraordinary adventures, developing her imagination as well as her mental, physical and emotional resilience.</p>",5.5,"Comedy,Children",ABC KIDS,2018-10-01,Running
tt1355642,Fullmetal Alchemist: Brotherhood,"<p><b>Fullmetal Alchemist: Brotherhood</b> is set in a fictional world where alchemy – the transmutation of raw materials into objects – is science, and the way of life. The series follows the Elric brothers, Edward and Alphonse, on their perilous journey in search of the legendary ""Philosopher's Stone"". They set forth hoping that the magical artifact can restore their bodies after a failed attempt to revive their dead mother cost Edward his left leg and right arm, while Alphonse's entire body was taken away leaving his soul affixed to a suit of armor.</p><p>Source: Anime News Network</p>",8.4,"Action,Adventure,Anime,Fantasy",TBS,2009-04-05,Ended
tt8420184,The Last Dance,"<p><b>The Last Dance</b> chronicles Michael Jordan and the 1990s Chicago Bulls, one of the greatest icons and most successful dynasties in sports history.</p>",8.4,"Drama,Sports",ESPN,2020-04-19,Ended
tt1533395,Life,"<p>David Attenborough looks at the extraordinary ends to which animals and plants go in order to survive. Featuring epic spectacles, amazing TV firsts and examples of new wildlife behaviour.</p>",7.5,Nature,BBC One,2009-10-12,Ended
tt0052520,The Twilight Zone,"<p>A groundbreaking series by Rod Serling, this half-hour anthology featured tales of the strange, the macabre, and the unusual. Some were science fiction, some were supernatural, and some defied easy categorization.This five-season series is best known for its twist endings. Many of the stories were written by Serling himself, others were crafted by Richard Matheson, Charles Beaumont, Earl Hammer Jr. and Ray Bradbury.</p>",8.8,"Science-Fiction,Mystery,Supernatural",CBS,1959-10-02,Ended
tt1475582,Sherlock,"<p>Sherlock Holmes and Dr. John Watson's adventures in 21st Century London. A thrilling, funny, fast-paced contemporary reimagining of the Arthur Conan Doyle classic.</p>",8.9,"Drama,Crime,Mystery",BBC One,2010-07-25,Ended
tt1877514,The Vietnam War,"<p>In an immersive 360-degree narrative, Ken Burns and Lynn Novick tell the epic story of the Vietnam War as it has never before been told on film. <b>The Vietnam War</b> features testimony from nearly 100 witnesses.</p>",7.6,"War,History",PBS,2017-09-17,Ended
tt0103359,Batman: The Animated Series,"<p>Experience the thrills of vigilante justice as millionaire playboy Bruce Wayne and alter-ego Batman protect the streets of Gotham City from a host of villains including archnemesis The Joker, deadly-beautiful Poison Ivy and primitive Killer Croc in a fresh take on super hero storytelling. Intelligent, dramatic stories, unique characters and sharp dialog shaped this edgy TV series into an Emmy®-winning powerhouse that brought the Caped Crusader out of the dark alleys of TV history and into the present for fans of all ages.</p>",8.4,"Action,Adventure,Science-Fiction",Fox Kids,1992-09-05,Ended
tt2560140,Attack on Titan,"<p>Known in Japan as Shingeki no Kyojin, many years ago, the last remnants of humanity were forced to retreat behind the towering walls of a fortified city to escape the massive, man-eating Titans that roamed the land outside their fortress. Only the heroic members of the Scouting Legion dared to stray beyond the safety of the walls – but even those brave warriors seldom returned alive. Those within the city clung to the illusion of a peaceful existence until the day that dream was shattered, and their slim chance at survival was reduced to one horrifying choice: kill – or be devoured!</p>",8.8,"Action,Adventure,Anime,Fantasy",NHK,2013-04-07,Running
tt0386676,The Office,"<p>Steve Carell stars in <b>The Office</b>, a fresh and funny mockumentary-style glimpse into the daily interactions of the eccentric workers at the Dunder Mifflin paper supply company. Based on the smash-hit British series of the same name and adapted for American Television by Greg Daniels, this fast-paced comedy parodies contemporary American water-cooler culture. Earnest but clueless regional manager Michael Scott believes himself to be an exceptional boss and mentor, but actually receives more eye-rolls than respect from his oddball staff.</p>",8.4,Comedy,NBC,2005-03-24,Ended
tt0296310,The Blue Planet,"<p>The BBC spent five years and $10 million to produce this landmark exploration of the ocean, a world we know less about than the moon. We go further out and deeper down to show you things that have never been seen before. <b>The Blue Planet</b> reveals the sea and its communities at their most fearsome and alluring. Until now, we've only touched the surface...</p>",9.1,Nature,BBC One,2001-09-12,Ended
tt3032476,Better Call Saul,"<p><b>Better Call Saul</b> is the prequel to the award-winning series Breaking Bad, set six years before Saul Goodman became Walter White's lawyer. When we meet him, the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and often against, Jimmy is ""fixer"" Mike Ehrmantraut, a beloved character introduced in Breaking Bad. The series will track Jimmy's transformation into Saul Goodman, the man who puts ""criminal"" in ""criminal lawyer.</p>",8.6,"Drama,Crime,Legal",AMC,2015-02-08,Ended
tt1806234,Human Planet,"<p>Following in the footsteps of <i>Planet Earth</i> and <i>Life</i>, this epic eight-part blockbuster is a breathtaking celebration of the amazing, complex, profound and sometimes challenging relationship between humankind and nature. Humans are the ultimate animals – the most successful species on the planet. From the frozen Arctic to steamy rainforests, from tiny islands in vast oceans to parched deserts, people have found remarkable ways to adapt and survive in the harshest environments imaginable. We've done this by harnessing our immense courage and ingenuity; learning to live with and utilise the other creatures that share these wild places. <b>Human Planet</b> weaves together eighty inspiring stories, many never told before on television, set to a globally influenced soundtrack by award-winning composer Nitin Sawhney.</p>",8.2,Nature,BBC One,2011-01-13,Ended
tt0303461,Firefly,"<p>Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.</p>",9.0,"Drama,Adventure,Science-Fiction",FOX,2002-09-20,Ended
tt2092588,Frozen Planet,"<p>David Attenborough travels to the end of the earth, taking viewers on an extraordinary journey across the polar regions of our planet.</p>",8.3,Nature,BBC One,2011-10-26,Ended
tt0877057,Death Note,<p><b>Death Note </b>is an anime series based around a manga of the same name whereby a human finds a death god's notebook. Any person's name written in this notebook will die. The main character who finds this noteboook is Light Yagami who faces off against an unfaced character named L who tries to challenge him.</p>,8.7,"Drama,Anime,Thriller,Mystery",NTV,2006-10-03,Ended
tt0081912,Only Fools and Horses,"<p>Classic John Sullivan sitcom set in south London, centred on hapless market trader Del Boy, his brother Rodney, the rest of the Trotter clan and a host of Peckham characters.</p>",8.5,Comedy,BBC One,1981-09-08,Ended
tt0098769,The Civil War,"<p>Between 1861 and 1865, Americans made war on each other and killed each other in great numbers - if only to become the kind of country that could no longer conceive of how that was possible. What began as a bitter dispute over Union and States' Rights, ended as a struggle over the meaning of freedom in America.</p>",,"War,History",PBS,1990-09-23,Ended
tt2098220,Hunter x Hunter,"<p>Remake of the 1999 TV series of Hunter x Hunter based on the manga by Togashi Yoshihiro. A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him. After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapica, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.</p>",8.7,"Action,Adventure,Anime,Fantasy",NTV,2011-10-02,Ended
tt2356777,True Detective,<p>Touch darkness and darkness touches you back. <b>True Detective</b> centers on troubled cops and the investigations that drive them to the edge. Each season features a new cast and a new case.</p><p><i><b>True Detective</b></i> is an American anthology crime drama television series created and written by Nic Pizzolatto. </p>,8.2,"Drama,Crime,Thriller",HBO,2014-01-12,Running
tt0098904,Seinfeld,"<p><b>Seinfeld</b> is the story of a fictionalized version of stand-up comedian Jerry Seinfeld, his life in New York City and his quirky group of friends who join him in wrestling with life's most perplexing, yet often trivial questions. Often described as ""a show about nothing,"" Seinfeld mines the humor in life's mundane situations like waiting in line, searching for a lost item, or the trials and tribulations of dating.</p>",8.3,Comedy,NBC,1989-07-05,Ended
tt0092337,Dekalog,"<p>Ten television drama films, each one based on one of the Ten Commandments.</p>",7.7,Drama,TVP1,1989-12-10,Ended
tt9735318,The Beatles: Get Back,"<p><b>The Beatles: Get Back</b> takes audiences back in time to the band's intimate recording sessions during a pivotal moment in music history. The documentary showcases the warmth, camaraderie and creative genius that defined the legacy of the iconic foursome, compiled from over 60 hours of unseen footage shot in January 1969 (by Michael Lindsay-Hogg) and more than 150 hours of unheard audio, all of which has been brilliantly restored.Jackson is the only person in 50 years to have been given access to these private film archives. <i>The Beatles: Get Back</i> is the story of John Lennon, Paul McCartney, George Harrison and Ringo Starr as they plan their first live show in over two years, capturing the writing and rehearsing of 14 new songs, originally intended for release on an accompanying live album. The documentary features – for the first time in its entirety – The Beatles' last live performance as a group, the unforgettable rooftop concert on London's Savile Row, as well as other songs and classic compositions featured on the band's final two albums, Abbey Road and Let It Be.</p>",7.9,"Music,History",,2021-11-25,Ended
tt7920978,Şahsiyet,"<p>Agâh Beyoglu, a retired 65-year-old judicial clerk, crosses roads with Nevra, the only female police officer in the homicide office, when he get diagnosed of Alzheimer's in its early stages.</p>",,"Drama,Crime,Thriller",,2018-03-17,Ended
tt2802850,Fargo,"<p><b>Fargo </b>is a seasonal anthology crime drama with some dark comical elements, inspired by the film <i>Fargo</i> written by the Coen brothers. Each season follows a new case and new characters, all entrenched in the trademark humor, murder and ""Minnesota nice"" that has made the film an enduring classic.</p>",8.8,"Drama,Comedy,Crime",FX,2014-04-15,Running
tt0213338,Cowboy Bebop,"<p>In the year 2071, the crew of the spaceship Bebop travel the solar system trying to apprehend bounties. In the slang of the era, ""Cowboys"" are bounty hunters. Most episodes revolve around a specific bounty, but the show often shares its focus with the pasts of one of each of the four main characters and of more general past events, which are revealed and brought together as the series progresses. (The show originally aired on TV Tokyo, but due to what the network considered ""excessive violence"", only a few episodes, out of order, were ever shown. The channel WOWOW later picked up the series and aired the entire 26 episode run, in order.)</p>",8.7,"Action,Adventure,Anime,Science-Fiction",WOWOW,1998-10-24,Ended
tt1865718,Gravity Falls,"<p>Twin brother and sister Dipper and Mabel Pines are in for an unexpected adventure when they spend the summer with their great Uncle in the mysterious town of Gravity Falls, Oregon.</p>",8.8,"Adventure,Mystery,Supernatural",Disney XD,2012-06-15,Ended
tt2297757,Nathan for You,"<p>Nathan Fielder is a business advisor who implements strategies that no traditional consultant would dare attempt. Whether it's creating a coffee shop called Dumb Starbucks, inventing a poo-flavored yogurt or staging an elaborate video where a pig saves a goat, no idea is too daring. And while Nathan's efforts may not always succeed, they always have big results. This is <b>Nathan for You</b>.</p>",7.4,Comedy,Comedy Central,2013-02-28,Ended
tt3530232,Last Week Tonight with John Oliver,"<p>On <b>Last Week Tonight with John Oliver</b>, John Oliver presents a satirical look at the week in news, politics and current events.</p>",7.8,Comedy,HBO,2014-04-27,Running
tt7660850,Succession,"<p><b>Succession </b>follows the saga of the Roys, a fictional, American global-media family that is not only rich and powerful but also powerfully dysfunctional. The drama will explore family loyalty, international business and the perils of power in the 21st century.</p><p>Power, politics, money...it's all in the family in this provocative, funny series about a highly dysfunctional dynasty. When Logan Roy, CEO of one of the world's largest media and entertainment conglomerates, considers retirement, each of his four grown children follows a personal agenda that doesn't always sync with those of their siblings--or of their father.</p>",7.5,"Drama,Family",HBO,2018-06-03,Ended
tt7137906,When They See Us,<p>Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.</p>,8.1,"Drama,Crime",,2019-05-31,Ended
tt1508238,Apocalypse: La 2e Guerre mondiale,"<p><b>Apocalypse: La 2e Guerre mondiale</b> is the story of World War II, told in painstakingly digitally colorized and evocative footage, and through the personal testimony of those who were there. More than six hundred hours of video taken by front-line soldiers, top-secret operatives, resistance fighters, and private citizens have been declassified and restored in full-color high definition. This six-part series, containing never-before-seen footage, will forever change the way we look at the Second World War.</p>",,"War,History",France 2,2009-09-08,Ended
tt0108778,Friends,"<p>Six young (20-something) people from New York City (Manhattan), on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.</p><p>This average group of buddies goes through massive mayhem, family trouble, past and future romances, fights, laughs, tears and surprises as they learn what it really means to be a friend.</p>",8.5,"Comedy,Romance",NBC,1994-09-22,Ended
tt2571774,Africa,<p>David Attenborough takes a breathtaking journey through the vast and diverse continent of Africa as it has never been seen before.</p>,7.7,Nature,BBC One,2013-01-02,Ended
tt4742876,TVF Pitchers,"<p>Four friends Naveen Bansal (Naveen), Jitendra Maheshwari (Jitu), Yogendra Kumar (Yogi) and Saurabh Mandal (Mandal), decide to enter the start-up world by launching their own start-up. Things are kicked off by Naveen who, angry at not being given his due at work, resigns in a drunk state. At the same time, he receives news of his B-Plan reaching the final round of the NASSCOM start-up conclave. This begins a series of situations in which the four friends rediscover what they really want in life and the challenges they face in getting their start-up idea off the ground.It's story is inspired from HBO TV series ""Silicon Valley"" but the plot is well designed in accordance with Indian audience who are not well aware of the Idea of Startup.</p>",,"Drama,Comedy",,2015-06-09,Ended
tt4934214,Taskmaster,"<p>Greg Davies is the <b>Taskmaster </b>who, with the help of his right-hand man, Alex, sets out to test the wiles, wit and wisdom of five hyper competitive comedians through a series of ingenious challenges. With the chance to be crowned show champion, rivalry amongst the comedians is encouraged, dodgy tactics rewarded and bribes accepted.</p>",8.2,Comedy,Channel 4,2015-07-28,Running
tt0472954,It's Always Sunny in Philadelphia,"<p><b>It's Always Sunny in Philadelphia</b> is an American comedy series about four friends in their late 20s with clear sociopathic tendencies who run an unsuccessful Irish bar, ""Paddy's Pub,"" in South Philadelphia. The series deals with a variety of controversial topics, including abortion, gun control, physical disabilities, racism, sexism, religion, the Israeli/Palestinian situation, terrorism, transsexuality, slavery, incest, sexual harassment in education, the homeless, statutory rape, drug addiction, pedophilia, child abuse, mental illness, gay rights and dumpster babies.</p>",8.2,Comedy,FXX,2005-08-04,Running
tt0063929,Monty Python's Flying Circus,"<p>And now for something completely different: <b>Monty Python's Flying Circus</b> was simply the most influential comedy program television has ever seen. Five Englishmen, all working under the constraints of conventional TV shows such as The Frost Report (for which the five Englishmen wrote), gathered together with an expatriate American in the spring of 1969 to break the rules. The result, first airing on BBC-1 on October 5, 1969, has influenced countless future men and women in the media and comedy since.</p>",8.3,Comedy,BBC One,1969-10-05,Ended
tt0200276,The West Wing,"<p>The entire White House staff bristles with activity when it's learned that the President injured himself during a bicycle accident, and his absence becomes a factor as chief of staff Leo McGarry must juggle a host of impending crises, including a mass boatlift of Cuban refugees approaching the Florida coast and the reaction of conservative Christians to a controversial televised comment by deputy chief of staff Josh Lyman.</p>",8.7,Drama,NBC,1999-09-22,Ended
tt0081834,Das Boot,"<p>The crew of U-boat U-96 has been ordered to leave port and set sail to sea to sink British merchant ships. After some tense moments with an enemy, which is well-equipped, they've been ordered to dock at a base in South Europe, however this seems to be impossible as they have to cross the strait of Gibraltar...</p>",8.5,"Action,Thriller,War",Das Erste,1985-02-24,Ended
tt0264235,Curb Your Enthusiasm,"<p><b>Curb Your Enthusiasm</b> stars <i>Seinfeld</i> co-creator Larry David as himself in an unsparing but tongue-in-cheek depiction of his life. Shot in a verite style and featuring celebrities playing themselves, the episodes are improvised by the actors from an outline created by David.</p>",7.7,Comedy,HBO,2000-10-15,Running
tt0388629,One Piece,"<p><b>One Piece</b> animation is based on the successful comic by Eiichiro Oda. The comic has sold more than 260 million copies. The success doesn't stop; the <i>One Piece</i> animation series is in its top 5 TV ratings for kids programs in Japan for past few years and the series' most recent feature film title <i>""One Piece Film Z"" </i>which was released on December 2012 has gathered 5.6 million viewers so far. The success goes beyond borders; receives high popularity on animation at terrestrial channel in Taiwan, no.1 rating on animation at a DTT channel in France, received high popularity among age 3-13 on a terrestrial channel in Germany in year 2010. The animation series has been broadcasted in many parts of the world: USA, UK, Australia, France, Spain, Portugal, Germany, Italy, Greece, Turkey, Israel, South Korea, Taiwan, China, Hong Kong, Philippine, Thailand, Singapore, Malaysia, Indonesia, Ecuador, Nicaragua, Chile, Mexico, Brazil, and etc.</p>",8.9,"Action,Adventure,Anime,Fantasy",Fuji TV,1999-10-20,Running
tt0072500,Fawlty Towers,"<p><b>Fawlty Towers</b> is set in a fictional hotel in the seaside town of Torquay. The plots centre on tense, rude and put-upon owner Basil Fawlty, his bossy wife Sybil, comparatively normal chambermaid Polly, who is often the peacemaker and voice of reason, and hapless Spanish waiter Manuel, showing their attempts to run the hotel amidst farcical situations and an array of demanding and eccentric guests.</p>",8.7,Comedy,BBC Two,1975-09-19,Ended
tt1831164,Leyla ile Mecnun,"<p><b>Leyla ile Mecnun</b> is a Turkish television comedy series. The show is set in Istanbul, Turkey. The series is a surreal and absurd comedy that revolves around the fictional love story between Layla and Majnun.</p>",,"Drama,Comedy,Adventure",,2011-02-09,Running
tt3398228,BoJack Horseman,"<p>Meet the most beloved sitcom horse of the '90s, 20 years later. He's a curmudgeon with a heart of... not quite gold... but something like gold. Copper?</p>",7.9,"Drama,Comedy",,2014-08-22,Ended
tt0112130,Pride and Prejudice,"<p>Re-live the romance and drama of Andrew Davies' lavish adaptation, starring Colin Firth and Jennifer Ehle.</p>",8.3,"Drama,Romance",BBC One,1995-09-24,Ended
tt0193676,Freaks and Geeks,"<p><b>Freaks and Geeks</b>, the Emmy® award-winning series about the trials and tribulations of high school outsiders in 1980 Michigan.</p>",8.3,"Drama,Comedy",NBC,1999-09-25,Ended
tt0098936,Twin Peaks,"<p>Set in the fictional town of Twin Peaks in northeast Washington state, this is the story of FBI Special Agent Dale Cooper and his investigation of the murder of a popular local teenage schoolgirl, Laura Palmer.</p>",8.0,"Crime,Mystery,Supernatural",Showtime,1990-04-08,Ended
tt0214341,Dragon Ball Z,"<p>Part 2 of the Dragonball madness, this story starts when Goku is an adult and introduces him to his Saiyan origin. The main theme of Dragonball Z is fighting although it still retains aspects of the humor and adventure from the previous Dragonball series. Characters develop as they grow, mature, and some even have children! Many of Goku's former enemies become his friend they band together to fight greater evils along the way.</p>",8.1,"Action,Adventure,Anime,Fantasy",Fuji TV,1989-04-26,Ended
tt2707408,Narcos,"<p><b>Narcos</b> chronicle the life and death of drug lord Pablo Escobar the ruthless boss of the Medellin Cartel and a known terrorist who was also a congressman, a family man and revered by the poor as a new Robin Hood.</p>",8.4,"Drama,Action,Crime",,2015-08-28,Ended
tt0353049,Chappelle's Show,"<p>It's not just a show -- it's a social phenomenon. Dave Chappelle's singular point of view is unleashed through a combination of stand-up bits and street-smart sketches. Hailed by critics and beloved by fans, Chappelle's Show brings the funk and the noise -- and some of the funniest comedy on television.</p>",7.9,Comedy,Comedy Central,2003-01-22,Ended
tt3581920,The Last of Us,"<p>After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.</p>",8.3,"Drama,Action,Horror",HBO,2023-01-15,Running
tt2085059,Black Mirror,"<p>Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone--a black mirror of our 21st Century existence. <b>Black Mirror</b> is a contemporary British re-working of <i>The Twilight Zone</i> with stories that tap into the collective unease about our modern world.</p>",8.6,"Drama,Science-Fiction,Thriller",,2011-12-04,To Be Determined
tt0074006,"I, Claudius","<p>Acclaimed blackly comic historical drama series. Set amidst a web of power, corruption and lies, it chronicles the reigns of the Roman emperors - Augustus, Tiberius, Caligula and finally Claudius.</p>",8.0,"Drama,History",BBC Two,1976-09-20,Ended
tt0121955,South Park,<p><b>South Park</b> is an adult comedy animation show centred around 4 children in the small town of south park. Its humour is often dark involving satirical elements and mocking current real-life events.</p>,8.4,Comedy,Comedy Central,1997-08-13,Running
tt3718778,Over the Garden Wall,"<p>Created by Patrick McHale (Adventure Time), the 10-episode tale follows two brothers, Wirt and Greg (voiced by Elijah Wood and Collin Dean), who mysteriously find themselves outside of the world they know and in a forest called the Unknown. In a Wizard of Oz-like twist, they have stumbled into a fantasy universe of the past filled with the things of folk tales, as well as talking and singing animals, all wrapped up in the seemingly constant backdrop of harvest time.</p>",8.3,"Drama,Fantasy,Mystery",Cartoon Network,2014-11-03,Ended
tt9432978,Kota Factory,<p><b>Kota Factory</b> captures the life of IIT and Medical exam aspirants as they face both Competition and Life.</p>,,"Drama,Comedy,Romance",,2019-04-16,To Be Determined
tt0248654,Six Feet Under,"<p>When death is your business, what is your life? For the Fisher family, the world outside of their family-owned funeral home continues to be at least as challenging as--and far less predictable than--the one inside on <b>Six Feet Under</b>.</p>",8.3,"Drama,Comedy",HBO,2001-06-03,Ended
tt2442560,Peaky Blinders,<p>An epic gangster drama set in the lawless streets of 1920s Birmingham.</p>,8.5,"Drama,Crime,History",BBC One,2013-09-12,Ended
tt0384766,Rome,"<p>Four hundred years after the founding of the Republic, Rome is the wealthiest city in the world. The Republic was founded on principals of shared power, never allowing one man to seize absolute control. But now, those foundations are crumbling...and two soldiers unwittingly become entwined in the historical events of ancient Rome. A drama of love and betrayal, masters and slaves, husbands and wives, Rome chronicles a turbulent era that saw the death of a republic and the birth of an empire.</p>",8.6,"Drama,Action,Adventure",HBO,2005-08-28,Ended
tt0118421,Oz,"<p>HBO's violent men-behind-bars drama is an addictive, testosterone-driven soap opera for guys. The eight episodes of the first season set the style for the show: a massive cast of a vivid characters on both sides of the bars, four or five stories unleashed at a breakneck pace and framed by angry, oddball introductions, and a soaring casualty rate. Created by Homicide producer Tom Fontana, this drama quickly earned its rightful reputation as the most brutal show on TV. It's simple chemistry: combine volatile ingredients in a confined space, shut tight, and shake.</p>",8.8,"Drama,Crime",HBO,1997-07-12,Ended
tt1910272,Steins;Gate,"<p>The microwave is a time machine. Okarin proved it. The self-anointed mad scientist nuked bananas into some gelatinous version of the future. Or maybe it was the past. Doesn't matter. No one thought he could do it, but he did it anyway. He sent text messages through time to people he knew. To his friends. Some of them female. Pretty. He should have been more careful. He should have stopped. Tampering with the time-space continuum attracts unwelcome attention. Clandestine organizations of nefarious origins take notice. SERN. Always watching. Okarin knows; he can feel their eyes. That s why he started the top secret Future Gadget Lab. To stop them. You should join. We get to wear lab coats, and it's dangerous. Danger is exciting because it's deadly. The microwave is a time machine. Steins;Gate is a surreal viewing experience that s an absolute must watch for all fans of sci-fi.</p>",8.7,"Drama,Anime,Fantasy,Science-Fiction",SUN-TV,2011-04-06,Ended
tt5753856,Dark,"<p>A family saga with a supernatural twist, <b>Dark</b> is set in a German town in present day where the disappearance of two young children exposes the double lives and fractured relationships among four families.</p>",8.3,"Drama,Science-Fiction,Supernatural",,2017-12-01,Ended
