Month,Seasonally Adjusted Unemployment Rates
01/01/2019,4%
01/02/2019,3.80%
01/03/2019,3.80%
01/04/2019,3.60%
01/05/2019,3.70%
01/06/2019,3.60%
01/07/2019,3.70%
01/08/2019,3.70%
01/09/2019,3.50%
01/10/2019,3.60%
01/11/2019,3.60%
01/12/2019,3.60%
01/01/2020,3.50%
01/02/2020,3.50%
01/03/2020,4.40%
01/04/2020,14.70%
01/05/2020,13.20%
01/06/2020,11%
01/07/2020,10.20%
01/08/2020,8.40%
01/09/2020,7.90%
01/10/2020,6.90%
01/11/2020,6.70%
01/12/2020,6.70%
01/01/2021,6.30%
01/02/2021,6.20%
01/03/2021,6.10%
01/04/2021,6.10%
01/05/2021,5.80%
01/06/2021,5.90%
01/07/2021,5.40%
01/08/2021,5.20%
01/09/2021,4.80%
01/10/2021,4.50%
01/11/2021,4.20%
01/12/2021,3.90%
01/01/2022,4%
01/02/2022,3.80%
01/03/2022,3.60%
01/04/2022,3.60%
01/05/2022,3.60%
01/06/2022,3.60%
01/07/2022,3.50%
01/08/2022,3.70%
01/09/2022,3.50%
01/10/2022,3.70%
01/11/2022,3.60%
01/12/2022,3.50%
01/01/2023,3.40%
01/02/2023,3.60%
01/03/2023,3.50%
01/04/2023,3.40%
01/05/2023,3.70%
01/06/2023,3.60%
01/07/2023,3.50%
